,shoe_title,shoe_link,original_price,reduced_price,discount
0,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-701,125.0,81.97,34.424
1,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-104,150.0,84.97,43.35333333333333
2,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/FQ7831-142,135.0,81.97,39.281481481481485
3,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FJ3459-160,125.0,87.97,29.624000000000006
4,"Luka 2 ""Bred""",https://www.nike.com/t/luka-2-bred-basketball-shoes-vcXFrk/DX8733-006,130.0,78.97,39.25384615384615
5,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-160,125.0,100.97,19.223999999999997
6,Air Jordan 1 Hi FlyEase,https://www.nike.com/t/air-jordan-1-hi-flyease-mens-shoes-VjGcGX/CQ3835-106,150.0,90.97,39.35333333333333
7,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-072,115.0,80.97,29.591304347826085
8,Air Jordan 1 Mid SE Craft,https://www.nike.com/t/air-jordan-1-mid-se-craft-mens-shoes-5VjD18/FD6817-003,135.0,87.97,34.837037037037035
9,Jordan True Flight,https://www.nike.com/t/jordan-true-flight-mens-shoes-9TwpBF/CU4933-001,150.0,90.97,39.35333333333333
10,Air Jordan 1 Element,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-003,200.0,110.97,44.51500000000001
11,Jordan Max Aura 5,https://www.nike.com/t/jordan-max-aura-5-mens-shoes-nTmBrg/DZ4353-001,130.0,78.97,39.25384615384615
12,Jordan 6 Rings,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/FZ4178-010,170.0,102.97,39.42941176470588
13,Air Jordan 1 Elevate High,https://www.nike.com/t/air-jordan-1-elevate-high-womens-shoes-BCspwg/DN3253-121,145.0,92.97,35.88275862068966
14,Air Jordan 11 CMFT Low,https://www.nike.com/t/air-jordan-11-cmft-low-mens-shoes-Chz8HV/DN4180-060,130.0,97.97,24.63846153846154
15,Air Jordan 1 High G NRG,https://www.nike.com/t/air-jordan-1-high-g-nrg-mens-golf-shoes-KqNcWn/FD6815-001,210.0,178.97,14.776190476190475
16,"Air Jordan 2 Low ""Origins""",https://www.nike.com/t/air-jordan-2-low-origins-mens-shoes-0GTxck/DV9956-006,150.0,96.97,35.35333333333334
17,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-womens-shoes-DdXxlf/DV1305-001,150.0,84.97,43.35333333333333
18,"Air Jordan 2 Retro ""Python""",https://www.nike.com/t/air-jordan-2-retro-python-mens-shoes-1dBD2H/DR8884-102,175.0,140.97,19.44571428571429
19,Jordan Retro 6 G,https://www.nike.com/t/jordan-retro-6-g-mens-golf-shoes-t9bR21/DV1376-100,220.0,134.97,38.65
20,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/FB9892-200,135.0,94.97,29.651851851851852
21,Luka 2 Team Bank,https://www.nike.com/t/luka-2-team-bank-basketball-shoes-qvvhqz/FN7400-160,130.0,71.97,44.63846153846154
22,Jordan One Take 5,https://www.nike.com/t/jordan-one-take-5-basketball-shoes-5lWJJ3/FD2335-106,100.0,60.97,39.03
23,"Zion 3 ""Z-3D""",https://www.nike.com/t/zion-3-z-3d-basketball-shoes-CghHWs/FZ1318-060,150.0,105.97,29.35333333333333
